product_name_en	product_name_da	product_name_de	product_name_fr	product_name_it	product_name_nl	product_name_pl	product_name_fi	product_name_es	product_name_sv	product_url_en	product_url_da	product_url_de	product_url_fr	product_url_it	product_url_nl	product_url_pl	product_url_fi	product_url_es	product_url_sv	style_en	style_da	style_de	style_fr	style_it	style_nl	style_pl	style_fi	style_es	style_sv	category	environment_image_1	environment_image_2	environment_image_3
Canvas print - La Bohémienne endormie 1897	Lærred - La Bohémienne endormie 1897	Leinwandbild - La Bohémienne endormie 1897	Toile - La Bohémienne endormie 1897	Stampe su tela - La Bohémienne endormie 1897	Canvas schilderi - La Bohémienne endormie 1897	Obraz na płótnie - La Bohémienne endormie 1897	Canvas taulu - La Bohémienne endormie 1897	Lienzo - La Bohémienne endormie 1897	Canvastavla La Bohémienne endormie 1897 - Tavla	https://wamaya.local/en/product/canvas-print-la-bohemienne-endormie-1897-2/	https://wamaya.local/da/product/laerred-la-bohemienne-endormie-1897/	https://wamaya.local/de/product/leinwandbild-la-bohemienne-endormie-1897/	https://wamaya.local/fr/product/toile-la-bohemienne-endormie-1897/	https://wamaya.local/it/product/stampe-su-tela-la-bohemienne-endormie-1897/	https://wamaya.local/nl/product/canvas-schilderi-la-bohemienne-endormie-1897/	https://wamaya.local/pl/product/obraz-na-plotnie-la-bohemienne-endormie-1897/	https://wamaya.local/fi/product/canvas-taulu-la-bohemienne-endormie-1897/	https://wamaya.local/es/product/lienzo-la-bohemienne-endormie-1897/	https://wamaya.local/product/canvastavla-la-bohemienne-endormie-1897-tavla-2/	Bohemian	Bohemisk	Bohemian	Bohème	Bohemian	Bohemian	Bohemian	Boheemi	Bohemio	Bohemisk	Bohemiska tavlor	https://pictufy.com/api/interiors.php?p=2440327&i=1521	https://pictufy.com/api/interiors.php?p=2440327&i=999	
Canvas print - Palm Beige and Green	Lærred - Palm Beige and Green	Leinwandbild - Palm Beige and Green	Toile - Palm Beige and Green	Stampe su tela - Palm Beige and Green	Canvas schilderi - Palm Beige and Green	Obraz na płótnie - Palm Beige and Green	Canvas taulu - Palm Beige and Green	Lienzo - Palm Beige and Green	Canvastavla Palm Beige and Green - Tavla	https://wamaya.local/en/product/canvas-print-palm-beige-and-green/	https://wamaya.local/da/product/laerred-palm-beige-and-green/	https://wamaya.local/de/product/leinwandbild-palm-beige-and-green/	https://wamaya.local/fr/product/toile-palm-beige-and-green/	https://wamaya.local/it/product/stampe-su-tela-palm-beige-and-green/	https://wamaya.local/nl/product/canvas-schilderi-palm-beige-and-green/	https://wamaya.local/pl/product/obraz-na-plotnie-palm-beige-and-green/	https://wamaya.local/fi/product/canvas-taulu-palm-beige-and-green/	https://wamaya.local/es/product/lienzo-palm-beige-and-green/	https://wamaya.local/product/canvastavla-palm-beige-and-green-tavla/	Minimalist	Minimalistisk	Minimalistisch	Minimaliste	Minimalist	Minimalist	Minimalist	Minimalistinen	Minimalista	Minimalistisk	Naturmotiv	https://pictufy.com/api/interiors.php?p=2456428&i=1079	https://pictufy.com/api/interiors.php?p=2456428&i=94	
Canvas print - Paper Cut No.5	Lærred - Paper Cut No.5	Leinwandbild - Paper Cut No.5	Toile - Paper Cut No.5	Stampe su tela - Paper Cut No.5	Canvas schilderi - Paper Cut No.5	Obraz na płótnie - Paper Cut No.5	Canvas taulu - Paper Cut No.5	Lienzo - Paper Cut No.5	Canvastavla Paper Cut No.5 - Tavla	https://wamaya.local/en/product/canvas-print-paper-cut-no-5/	https://wamaya.local/da/product/laerred-paper-cut-no-5/	https://wamaya.local/de/product/leinwandbild-paper-cut-no-5/	https://wamaya.local/fr/product/toile-paper-cut-no-5/	https://wamaya.local/it/product/stampe-su-tela-paper-cut-no-5/	https://wamaya.local/nl/product/canvas-schilderi-paper-cut-no-5/	https://wamaya.local/pl/product/obraz-na-plotnie-paper-cut-no-5/	https://wamaya.local/fi/product/canvas-taulu-paper-cut-no-5/	https://wamaya.local/es/product/lienzo-paper-cut-no-5/	https://wamaya.local/product/canvastavla-paper-cut-no-5-tavla/	Abstract	Abstrakt	Abstrakt	Abstrait	Abstract	Abstract	Abstract	Abstrakti	Abstracto	Abstrakt	Abstrakt	https://pictufy.com/api/interiors.php?p=2975095&i=1079	https://pictufy.com/api/interiors.php?p=2975095&i=94	
Canvas print - 5 Vintage Flowers	Lærred - 5 Vintage Flowers	Leinwandbild - 5 Vintage Flowers	Toile - 5 Vintage Flowers	Stampe su tela - 5 Vintage Flowers	Canvas schilderi - 5 Vintage Flowers	Obraz na płótnie - 5 Vintage Flowers	Canvas taulu - 5 Vintage Flowers	Lienzo - 5 Vintage Flowers	Canvastavla 5 Vintage Flowers - Tavla	https://wamaya.local/en/product/canvas-print-5-vintage-flowers/	https://wamaya.local/da/product/laerred-5-vintage-flowers/	https://wamaya.local/de/product/leinwandbild-5-vintage-flowers/	https://wamaya.local/fr/product/toile-5-vintage-flowers/	https://wamaya.local/it/product/stampe-su-tela-5-vintage-flowers/	https://wamaya.local/nl/product/canvas-schilderi-5-vintage-flowers/	https://wamaya.local/pl/product/obraz-na-plotnie-5-vintage-flowers/	https://wamaya.local/fi/product/canvas-taulu-5-vintage-flowers/	https://wamaya.local/es/product/lienzo-5-vintage-flowers/	https://wamaya.local/product/canvastavla-5-vintage-flowers-tavla/	Minimalist	Minimalistisk	Minimalistisch	Minimaliste	Minimalist	Minimalist	Minimalist	Minimalistinen	Minimalista	Minimalistisk	Blommor	https://pictufy.com/api/interiors.php?p=2986377&i=1079	https://pictufy.com/api/interiors.php?p=2986377&i=94	
Canvas print - Kiilop&auml;&auml; - Lapland	Lærred - Kiilop&auml;&auml; - Lapland	Leinwandbild - Kiilop&auml;&auml; - Lapland	Toile - Kiilop&auml;&auml; - Lapland	Stampe su tela - Kiilop&auml;&auml; - Lapland	Canvas schilderi - Kiilop&auml;&auml; - Lapland	Obraz na płótnie - Kiilop&auml;&auml; - Lapland	Canvas taulu - Kiilop&auml;&auml; - Lapland	Lienzo - Kiilop&auml;&auml; - Lapland	Canvastavla Kiilop&auml;&auml; - Lapland - Tavla	https://wamaya.local/en/product/canvas-print-kiilop-lapland/	https://wamaya.local/da/product/laerred-kiilop-lapland/	https://wamaya.local/de/product/leinwandbild-kiilop-lapland/	https://wamaya.local/fr/product/toile-kiilop-lapland/	https://wamaya.local/it/product/stampe-su-tela-kiilop-lapland/	https://wamaya.local/nl/product/canvas-schilderi-kiilop-lapland/	https://wamaya.local/pl/product/obraz-na-plotnie-kiilop-lapland/	https://wamaya.local/fi/product/canvas-taulu-kiilop-lapland/	https://wamaya.local/es/product/lienzo-kiilop-lapland/	https://wamaya.local/product/canvastavla-kiilop-lapland-tavla/	Japandi	Japandi	Japandi	Japandi	Japandi	Japandi	Japandi	Japandi	Japandi	Japandi	Fotokonst	https://pictufy.com/api/interiors.php?p=37932&i=1521	https://pictufy.com/api/interiors.php?p=37932&i=999	
Canvas print - Awakening I	Lærred - Awakening I	Leinwandbild - Awakening I	Toile - Awakening I	Stampe su tela - Awakening I	Canvas schilderi - Awakening I	Obraz na płótnie - Awakening I	Canvas taulu - Awakening I	Lienzo - Awakening I	Canvastavla Awakening I - Tavla	https://wamaya.local/en/product/canvas-print-awakening-i/	https://wamaya.local/da/product/laerred-awakening-i/	https://wamaya.local/de/product/leinwandbild-awakening-i/	https://wamaya.local/fr/product/toile-awakening-i/	https://wamaya.local/it/product/stampe-su-tela-awakening-i/	https://wamaya.local/nl/product/canvas-schilderi-awakening-i/	https://wamaya.local/pl/product/obraz-na-plotnie-awakening-i/	https://wamaya.local/fi/product/canvas-taulu-awakening-i/	https://wamaya.local/es/product/lienzo-awakening-i/	https://wamaya.local/product/canvastavla-awakening-i-tavla/	Vintage	Vintage	Vintage	Vintage	Vintage	Vintage	Vintage	Vintage	Vintage	Vintage	Människor	https://pictufy.com/api/interiors.php?p=2758148&i=1079	https://pictufy.com/api/interiors.php?p=2758148&i=94	
Canvas print - Augmented Reality 1	Lærred - Augmented Reality 1	Leinwandbild - Augmented Reality 1	Toile - Augmented Reality 1	Stampe su tela - Augmented Reality 1	Canvas schilderi - Augmented Reality 1	Obraz na płótnie - Augmented Reality 1	Canvas taulu - Augmented Reality 1	Lienzo - Augmented Reality 1	Canvastavla Augmented Reality 1 - Tavla	https://wamaya.local/en/product/canvas-print-augmented-reality-1/	https://wamaya.local/da/product/laerred-augmented-reality-1/	https://wamaya.local/de/product/leinwandbild-augmented-reality-1/	https://wamaya.local/fr/product/toile-augmented-reality-1/	https://wamaya.local/it/product/stampe-su-tela-augmented-reality-1/	https://wamaya.local/nl/product/canvas-schilderi-augmented-reality-1/	https://wamaya.local/pl/product/obraz-na-plotnie-augmented-reality-1/	https://wamaya.local/fi/product/canvas-taulu-augmented-reality-1/	https://wamaya.local/es/product/lienzo-augmented-reality-1/	https://wamaya.local/product/canvastavla-augmented-reality-1-tavla/	Modern	Moderne	Modern	Moderne	Modern	Modern	Modern	Moderni	Moderno	Modern	Astronomi	https://pictufy.com/api/interiors.php?p=2885034&i=1079	https://pictufy.com/api/interiors.php?p=2885034&i=94	
Canvas print - Awakening II	Lærred - Awakening II	Leinwandbild - Awakening II	Toile - Awakening II	Stampe su tela - Awakening II	Canvas schilderi - Awakening II	Obraz na płótnie - Awakening II	Canvas taulu - Awakening II	Lienzo - Awakening II	Canvastavla Awakening II - Tavla	https://wamaya.local/en/product/canvas-print-awakening-ii/	https://wamaya.local/da/product/laerred-awakening-ii/	https://wamaya.local/de/product/leinwandbild-awakening-ii/	https://wamaya.local/fr/product/toile-awakening-ii/	https://wamaya.local/it/product/stampe-su-tela-awakening-ii/	https://wamaya.local/nl/product/canvas-schilderi-awakening-ii/	https://wamaya.local/pl/product/obraz-na-plotnie-awakening-ii/	https://wamaya.local/fi/product/canvas-taulu-awakening-ii/	https://wamaya.local/es/product/lienzo-awakening-ii/	https://wamaya.local/product/canvastavla-awakening-ii-tavla/	Vintage	Vintage	Vintage	Vintage	Vintage	Vintage	Vintage	Vintage	Vintage	Vintage	Stående tavlor	https://pictufy.com/api/interiors.php?p=2761694&i=1079	https://pictufy.com/api/interiors.php?p=2761694&i=94	
Canvas print - All you need is love	Lærred - All you need is love	Leinwandbild - All you need is love	Toile - All you need is love	Stampe su tela - All you need is love	Canvas schilderi - All you need is love	Obraz na płótnie - All you need is love	Canvas taulu - All you need is love	Lienzo - All you need is love	Canvastavla All you need is love - Tavla	https://wamaya.local/en/product/canvas-print-all-you-need-is-love-2/	https://wamaya.local/da/product/laerred-all-you-need-is-love-2/	https://wamaya.local/de/product/leinwandbild-all-you-need-is-love-2/	https://wamaya.local/fr/product/toile-all-you-need-is-love-2/	https://wamaya.local/it/product/stampe-su-tela-all-you-need-is-love-2/	https://wamaya.local/nl/product/canvas-schilderi-all-you-need-is-love-2/	https://wamaya.local/pl/product/obraz-na-plotnie-all-you-need-is-love-2/	https://wamaya.local/fi/product/canvas-taulu-all-you-need-is-love-2/	https://wamaya.local/es/product/lienzo-all-you-need-is-love-2/	https://wamaya.local/product/canvastavla-all-you-need-is-love-tavla-2/	Street Art	Street Art	Street Art	Street Art	Street Art	Street Art	Street Art	Street Art	Street Art	Street Art	Djur	https://pictufy.com/api/interiors.php?p=2431295&i=1079	https://pictufy.com/api/interiors.php?p=2431295&i=94	
Canvas print - California	Lærred - California	Leinwandbild - California	Toile - California	Stampe su tela - California	Canvas schilderi - California	Obraz na płótnie - California	Canvas taulu - California	Lienzo - California	Canvastavla California - Tavla	https://wamaya.local/en/product/canvas-print-california/	https://wamaya.local/da/product/laerred-california/	https://wamaya.local/de/product/leinwandbild-california/	https://wamaya.local/fr/product/toile-california/	https://wamaya.local/it/product/stampe-su-tela-california/	https://wamaya.local/nl/product/canvas-schilderi-california/	https://wamaya.local/pl/product/obraz-na-plotnie-california/	https://wamaya.local/fi/product/canvas-taulu-california/	https://wamaya.local/es/product/lienzo-california/	https://wamaya.local/product/canvastavla-california-tavla/	Bohemian	Bohemisk	Bohemian	Bohème	Bohemian	Bohemian	Bohemian	Boheemi	Bohemio	Bohemisk	Bohemiska tavlor	https://pictufy.com/api/interiors.php?p=2539637&i=1079	https://pictufy.com/api/interiors.php?p=2539637&i=94	
Canvas print - Dark Paper Cut	Lærred - Dark Paper Cut	Leinwandbild - Dark Paper Cut	Toile - Dark Paper Cut	Stampe su tela - Dark Paper Cut	Canvas schilderi - Dark Paper Cut	Obraz na płótnie - Dark Paper Cut	Canvas taulu - Dark Paper Cut	Lienzo - Dark Paper Cut	Canvastavla Dark Paper Cut - Tavla	https://wamaya.local/en/product/canvas-print-dark-paper-cut/	https://wamaya.local/da/product/laerred-dark-paper-cut/	https://wamaya.local/de/product/leinwandbild-dark-paper-cut/	https://wamaya.local/fr/product/toile-dark-paper-cut/	https://wamaya.local/it/product/stampe-su-tela-dark-paper-cut/	https://wamaya.local/nl/product/canvas-schilderi-dark-paper-cut/	https://wamaya.local/pl/product/obraz-na-plotnie-dark-paper-cut/	https://wamaya.local/fi/product/canvas-taulu-dark-paper-cut/	https://wamaya.local/es/product/lienzo-dark-paper-cut/	https://wamaya.local/product/canvastavla-dark-paper-cut-tavla/	Abstract	Abstrakt	Abstrakt	Abstrait	Abstract	Abstract	Abstract	Abstrakti	Abstracto	Abstrakt	Abstrakt	https://pictufy.com/api/interiors.php?p=2975088&i=1079	https://pictufy.com/api/interiors.php?p=2975088&i=94	
Canvas print - Peony 1	Lærred - Peony 1	Leinwandbild - Peony 1	Toile - Peony 1	Stampe su tela - Peony 1	Canvas schilderi - Peony 1	Obraz na płótnie - Peony 1	Canvas taulu - Peony 1	Lienzo - Peony 1	Canvastavla Peony 1 - Tavla	https://wamaya.local/en/product/canvas-print-peony-1/	https://wamaya.local/da/product/laerred-peony-1/	https://wamaya.local/de/product/leinwandbild-peony-1/	https://wamaya.local/fr/product/toile-peony-1/	https://wamaya.local/it/product/stampe-su-tela-peony-1/	https://wamaya.local/nl/product/canvas-schilderi-peony-1/	https://wamaya.local/pl/product/obraz-na-plotnie-peony-1/	https://wamaya.local/fi/product/canvas-taulu-peony-1/	https://wamaya.local/es/product/lienzo-peony-1/	https://wamaya.local/product/canvastavla-peony-1-tavla/	Minimalist	Minimalistisk	Minimalistisch	Minimaliste	Minimalist	Minimalist	Minimalist	Minimalistinen	Minimalista	Minimalistisk	Blommor	https://pictufy.com/api/interiors.php?p=2558819&i=1079	https://pictufy.com/api/interiors.php?p=2558819&i=94	
Canvas print - DOVES Green	Lærred - DOVES Green	Leinwandbild - DOVES Green	Toile - DOVES Green	Stampe su tela - DOVES Green	Canvas schilderi - DOVES Green	Obraz na płótnie - DOVES Green	Canvas taulu - DOVES Green	Lienzo - DOVES Green	Canvastavla DOVES Green - Tavla	https://wamaya.local/en/product/canvas-print-doves-green/	https://wamaya.local/da/product/laerred-doves-green/	https://wamaya.local/de/product/leinwandbild-doves-green/	https://wamaya.local/fr/product/toile-doves-green/	https://wamaya.local/it/product/stampe-su-tela-doves-green/	https://wamaya.local/nl/product/canvas-schilderi-doves-green/	https://wamaya.local/pl/product/obraz-na-plotnie-doves-green/	https://wamaya.local/fi/product/canvas-taulu-doves-green/	https://wamaya.local/es/product/lienzo-doves-green/	https://wamaya.local/product/canvastavla-doves-green-tavla/	Minimalist	Minimalistisk	Minimalistisch	Minimaliste	Minimalist	Minimalist	Minimalist	Minimalistinen	Minimalista	Minimalistisk	Fåglar	https://pictufy.com/api/interiors.php?p=2456173&i=1079	https://pictufy.com/api/interiors.php?p=2456173&i=94	
